FECHA (YYMMDD);HORA (HHMM);;
091224;0100;;
091224;0200;;
091224;0300;;
091224;0400;;
091224;0500;;
091224;0600;;
091224;0700;;
091224;0800;;
091224;0900;;
091224;1000;;
091224;1100;;
091224;1200;;
091224;1300;9,39166;
091224;1400;;
091224;1500;;
091224;1600;;
091224;1700;;
091224;1800;;
091224;1900;;
091224;2000;;
091224;2100;;
091224;2200;;
091224;2300;;
091225;0000;;
091225;0100;;
091225;0200;;
091225;0300;;
091225;0400;;
091225;0500;;
091225;0600;;
091225;0700;;
091225;0800;;
091225;0900;;
091225;1000;;
091225;1100;;
091225;1200;;
091225;1300;;
091225;1400;;
091225;1500;;
091225;1600;;
091225;1700;;
091225;1800;;
091225;1900;;
091225;2000;;
091225;2100;;
091225;2200;;
091225;2300;;
091226;0000;;
091226;0100;;
091226;0200;;
091226;0300;;
091226;0400;;
091226;0500;;
091226;0600;;
091226;0700;;
091226;0800;;
091226;0900;;
091226;1000;;
091226;1100;;
091226;1200;;
091226;1300;;
091226;1400;;
091226;1500;;
091226;1600;;
091226;1700;;
091226;1800;;
091226;1900;;
091226;2000;;
091226;2100;;
091226;2200;;
091226;2300;;
091227;0000;;
091227;0100;;
091227;0200;;
091227;0300;;
091227;0400;;
091227;0500;;
091227;0600;;
091227;0700;;
091227;0800;;
091227;0900;;
091227;1000;;
091227;1100;;
091227;1200;;
091227;1300;;
091227;1400;;
091227;1500;;
091227;1600;;
091227;1700;;
091227;1800;;
091227;1900;;
091227;2000;;
091227;2100;;
091227;2200;;
091227;2300;;
091228;0000;;
091228;0100;;
091228;0200;;
091228;0300;;
091228;0400;;
091228;0500;;
091228;0600;;
091228;0700;;
091228;0800;;
091228;0900;;
091228;1000;;
091228;1100;;
091228;1200;;
091228;1300;;
091228;1400;;
091228;1500;;
091228;1600;;
091228;1700;;
091228;1800;;
091228;1900;;
091228;2000;;
091228;2100;;
091228;2200;;
091228;2300;;
091229;0000;;
091229;0100;;
091229;0200;;
091229;0300;;
091229;0400;;
091229;0500;;
091229;0600;;
091229;0700;;
091229;0800;;
091229;0900;;
091229;1000;;
091229;1100;;
091229;1200;;
091229;1300;;
091229;1400;;
091229;1500;;
091229;1600;;
091229;1700;;
091229;1800;;
091229;1900;;
091229;2000;;
091229;2100;;
091229;2200;;
091229;2300;;
091230;0000;;
091230;0100;;
091230;0200;;
091230;0300;;
091230;0400;;
091230;0500;;
091230;0600;;
091230;0700;;
091230;0800;;
091230;0900;;
091230;1000;;
091230;1100;;
091230;1200;;
091230;1300;;
091230;1400;;
091230;1500;;
091230;1600;;
091230;1700;;
091230;1800;;
091230;1900;;
091230;2000;;
091230;2100;;
091230;2200;;
091230;2300;;
091231;0000;;
091231;0100;;
091231;0200;;
091231;0300;;
091231;0400;;
091231;0500;;
091231;0600;;
091231;0700;;
091231;0800;;
091231;0900;;
091231;1000;;
091231;1100;;
091231;1200;;
091231;1300;;
091231;1400;;
091231;1500;;
091231;1600;;
091231;1700;;
091231;1800;;
091231;1900;;
091231;2000;;
091231;2100;;
091231;2200;;
091231;2300;9;
100101;0000;9,04999;
100101;0100;9,125;
100101;0200;9,2;
100101;0300;9,125;
100101;0400;9,325;
100101;0500;9,5;
100101;0600;10,1;
100101;0700;10,475;
100101;0800;11,325;
100101;0900;11,95;
100101;1000;13;
100101;1100;13,55;
100101;1200;14,875;
100101;1300;14,275;
100101;1400;14;
100101;1500;14,325;
100101;1600;13,1;
100101;1700;12,675;
100101;1800;12,6;
100101;1900;11,775;
100101;2000;11,375;
100101;2100;11,15;
100101;2200;11,625;
100101;2300;11,75;
100102;0000;11,925;
100102;0100;12,275;
100102;0200;12,3;
100102;0300;12,45;
100102;0400;12,875;
100102;0500;12,9;
100102;0600;12,95;
100102;0700;13,425;
100102;0800;14,65;
100102;0900;15,325;
100102;1000;15,325;
100102;1100;15,55;
100102;1200;16,525;
100102;1300;16,925;
100102;1400;17,05;
100102;1500;17,275;
100102;1600;17,125;
100102;1700;16,65;
100102;1800;16,225;
100102;1900;14,3;
100102;2000;13,475;
100102;2100;13,325;
100102;2200;13,65;
100102;2300;13,7;
100103;0000;13,55;
100103;0100;13,55;
100103;0200;13,425;
100103;0300;13,625;
100103;0400;13,575;
100103;0500;13,475;
100103;0600;13,75;
100103;0700;14,475;
100103;0800;15,475;
100103;0900;18,1;
100103;1000;18,625;
100103;1100;19,375;
100103;1200;21,575;
100103;1300;21,425;
100103;1400;21,975;
100103;1500;21,125;
100103;1600;19,6;
100103;1700;19,45;
100103;1800;18,375;
100103;1900;17,275;
100103;2000;16,475;
100103;2100;16,425;
100103;2200;15,825;
100103;2300;15,125;
100104;0000;14,2;
100104;0100;13,65;
100104;0200;13,375;
100104;0300;12,575;
100104;0400;12,2;
100104;0500;11,45;
100104;0600;11,4;
100104;0700;12,2;
100104;0800;12,75;
100104;0900;13,275;
100104;1000;13,5;
100104;1100;13,875;
100104;1200;14,4;
100104;1300;14,3;
100104;1400;14,275;
100104;1500;15,525;
100104;1600;16,375;
100104;1700;15,5;
100104;1800;14,8;
100104;1900;13,7;
100104;2000;11,875;
100104;2100;10,5;
100104;2200;10,025;
100104;2300;9,47499;
100105;0000;8,54999;
100105;0100;7,6;
100105;0200;7,5;
100105;0300;7,175;
100105;0400;5,89999;
100105;0500;6,225;
100105;0600;7,64999;
100105;0700;9,92499;
100105;0800;11;
100105;0900;12,6;
100105;1000;11,575;
100105;1100;12,425;
100105;1200;12,325;
100105;1300;12,725;
100105;1400;12;
100105;1500;12,075;
100105;1600;11,85;
100105;1700;11,525;
100105;1800;10,45;
100105;1900;9,25;
100105;2000;8,075;
100105;2100;7,95;
100105;2200;8,45;
100105;2300;8,45;
100106;0000;8,42499;
100106;0100;8,825;
100106;0200;8,27499;
100106;0300;7,925;
100106;0400;7,675;
100106;0500;7,52499;
100106;0600;8,125;
100106;0700;8,77499;
100106;0800;10,45;
100106;0900;10,45;
100106;1000;12,9;
100106;1100;14,375;
100106;1200;14,55;
100106;1300;14,8;
100106;1400;15,625;
100106;1500;15,5;
