FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130301;0000;34,3333;;;
130302;0000;25,25;;;
130303;0000;19,25;;;
130304;0000;14,75;;;
130305;0000;10,4167;;;
130306;0000;18,125;;;
130307;0000;38,875;;;
130308;0000;22,8333;;;
130309;0000;37,3333;;;
130310;0000;27,25;;;
130311;0000;42,8333;;;
130312;0000;89,4166;;;
130313;0000;56,3333;;;
130314;0000;;;402,217;
130315;0000;117,042;;;
130316;0000;81,25;;;
130317;0000;44,5833;;;
130318;0000;56,5416;;;
130319;0000;18,125;;;
130320;0000;29,875;;;
130321;0000;16,0833;;;
130322;0000;30,2727;;;
130323;0000;28,1667;;;
130324;0000;19,5417;;;
130325;0000;21,0417;;;
130326;0000;39,6666;;;
130327;0000;41;;;
130328;0000;53,5833;;;
130329;0000;49;;;
130330;0000;66,625;;;
130331;0000;139,708;;;
130401;0000;92,0833;;;
130402;0000;77,2916;;;
130403;0000;60;;;
130404;0000;13,375;;;
130405;0000;31,7826;;;
130406;0000;17,7917;;;
130407;0000;24,125;;;
130408;0000;25,2083;;;
130409;0000;60,3043;;;
130410;0000;50,3333;;;
130411;0000;63,3478;;;
130412;0000;53,4583;;;
130413;0000;38,9166;;;
130414;0000;26,5833;;;
130415;0000;83,9564;;;
130416;0000;26,25;;;
130417;0000;29,2273;;;
130418;0000;12,0417;;;
130419;0000;36,5416;;;
130420;0000;129,75;;;
130421;0000;101,375;;;
130422;0000;103,583;;;
130423;0000;116,167;;;
130424;0000;78,25;;;
130425;0000;34,8695;;;
130426;0000;54;;;
130427;0000;31,5417;;;
130428;0000;33,4166;;;
130429;0000;42,2083;;;
130430;0000;37,0416;;;
130501;0000;83,2916;;;
130502;0000;119,317;;;
130503;0000;118,167;;;
130504;0000;32,6086;;;
130505;0000;31,1182;;;
130506;0000;21,5833;;;
130507;0000;58,2916;;;
130508;0000;23,25;;;
130509;0000;27,5;;;
130510;0000;32,5416;;;
130511;0000;29,625;;;
130512;0000;27,7619;;;
130513;0000;82,5;;;
130514;0000;121,292;;;
130515;0000;98,1666;;;
130516;0000;46,2173;;;
130517;0000;37,0416;;;
130518;0000;126,087;;;
130519;0000;128,958;;;
130520;0000;85,8333;;;
130521;0000;115,417;;;
130522;0000;60,75;;;
130523;0000;92,8167;;;
130524;0000;151,583;;;
130525;0000;54,675;;;
130526;0000;71,3333;;;
130527;0000;225,875;;;
130528;0000;232;;;
130529;0000;76,7083;;;
130530;0000;;;;
130531;0000;;;;
130601;0000;70,7083;;;
130602;0000;39,0416;;;
130603;0000;188,167;;;
130604;0000;106,083;;;
130605;0000;45,6458;;;
130606;0000;59,5652;;;
130607;0000;37,3333;;;
130608;0000;21,9583;;;
130609;0000;25,1667;;;
130610;0000;39,6791;;;
130611;0000;41,4791;;;
130612;0000;42,7916;;;
130613;0000;116;;;
130614;0000;175,875;;;
130615;0000;76,8695;;;
130616;0000;37,3333;;;
130617;0000;69,3912;;;
130618;0000;62,3043;;;
130619;0000;39,375;;;
130620;0000;34,125;;;
130621;0000;37,375;;;
130622;0000;43,7083;;;
130623;0000;54,5833;;;
130624;0000;43,9583;;;
130625;0000;32,75;;;
130626;0000;83,6666;;;
130627;0000;113,208;;;
130628;0000;42,1666;;;
130629;0000;59,0416;;;
130630;0000;141,667;;;
130701;0000;183,958;;;
130702;0000;70,2999;;;
130703;0000;90,125;;;
130704;0000;103;;;
130705;0000;230,727;;;
130706;0000;95,875;;;
130707;0000;77,7083;;;
130708;0000;213,913;;;
130709;0000;200,833;;;
130710;0000;139,167;;;
130711;0000;;;330,417;
130712;0000;;;594,041;
130713;0000;41,7916;;;
130714;0000;47,5;;;
130715;0000;74,1666;;;
130716;0000;62,8208;;;
130717;0000;111,542;;;
130718;0000;106;;;
130719;0000;105,208;;;
130720;0000;214,167;;;
130721;0000;253,958;;;
130722;0000;92,1666;;;
130723;0000;48,1666;;;
130724;0000;30,5;;;
130725;0000;45,2083;;;
130726;0000;58,0833;;;
130727;0000;43,4583;;;
130728;0000;184,5;;;
130729;0000;146,708;;;
130730;0000;319,292;;;
130731;0000;337,375;;;
130801;0000;155,458;;;
130802;0000;166,208;;;
130803;0000;95,0833;;;
130804;0000;162,417;;;
130805;0000;98,625;;;
130806;0000;150,833;;;
130807;0000;63,2083;;;
130808;0000;39,1666;;;
130809;0000;59,375;;;
130810;0000;49,375;;;
130811;0000;79,4166;;;
130812;0000;77,4166;;;
130813;0000;46,8333;;;
130814;0000;35,2083;;;
130815;0000;62,625;;;
130816;0000;29,7917;;;
130817;0000;46,8333;;;
130818;0000;60,7916;;;
130819;0000;53,0833;;;
130820;0000;95,625;;;
130821;0000;119,083;;;
130822;0000;;;489,833;
130823;0000;141,5;;;
130824;0000;117,5;;;
130825;0000;102,042;;;
130826;0000;125,708;;;
130827;0000;62,0037;;;
130828;0000;106,302;;;
130829;0000;100,94;;;
130830;0000;82,007;;;
130831;0000;171,263;;;
130901;0000;81,8333;;;
130902;0000;123;;;
130903;0000;46,9583;;;
130904;0000;115,708;;;
130905;0000;67;;;
130906;0000;95,375;;;
130907;0000;44,2083;;;
130908;0000;47,875;;;
130909;0000;79,375;;;
130910;0000;73,25;;;
130911;0000;72,1666;;;
130912;0000;115,625;;;
130913;0000;202,292;;;
130914;0000;220,75;;;
130915;0000;211,25;;;
130916;0000;83,375;;;
130917;0000;54,9545;;;
130918;0000;33;;;
130919;0000;30,4167;;;
130920;0000;37,0833;;;
130921;0000;64,125;;;
130922;0000;78,6666;;;
130923;0000;85,4166;;;
130924;0000;136,667;;;
130925;0000;55,375;;;
130926;0000;85,4583;;;
130927;0000;147,417;;;
130928;0000;76,4583;;;
130929;0000;64,3333;;;
130930;0000;73,7916;;;
131001;0000;39,4583;;;
131002;0000;46,2916;;;
131003;0000;47,4583;;;
131004;0000;21,875;;;
131005;0000;19,125;;;
131006;0000;21,9167;;;
131007;0000;37,125;;;
131008;0000;36,7083;;;
131009;0000;19,8333;;;
131010;0000;58,4166;;;
131011;0000;38,2916;;;
131012;0000;25,7083;;;
131013;0000;19,0833;;;
131014;0000;33,625;;;
131015;0000;18,2917;;;
131016;0000;26,2917;;;
131017;0000;12,0417;;;
131018;0000;24,5833;;;
131019;0000;15,0833;;;
131020;0000;19,2917;;;
131021;0000;15,625;;;
131022;0000;24,7917;;;
131023;0000;39,9583;;;
131024;0000;24,1667;;;
131025;0000;11,0833;;;
131026;0000;15,125;;;
131027;0000;25,1667;;;
131028;0000;41,2083;;;
131029;0000;32,75;;;
131030;0000;24,125;;;
131031;0000;;;442,599;
131101;0000;;;421,971;
131102;0000;23,5;;;
131103;0000;27,5833;;;
131104;0000;28,7083;;;
131105;0000;16;;;
131106;0000;11,375;;;
131107;0000;10,625;;;
131108;0000;71,2916;;;
131109;0000;18,625;;;
131110;0000;10,7917;;;
131111;0000;20,0417;;;
131112;0000;30,7083;;;
131113;0000;54,7083;;;
131114;0000;16,7917;;;
131115;0000;15;;;
131116;0000;11,5833;;;
131117;0000;17;;;
131118;0000;12,375;;;
131119;0000;8,875;;;
131120;0000;9,75;;;
131121;0000;15,5;;;
131122;0000;9,27272;;;
131123;0000;15,2083;;;
131124;0000;21,5417;;;
131125;0000;21,25;;;
131126;0000;16,9583;;;
131127;0000;6,16666;;;
131128;0000;7,75;;;
131129;0000;8,41666;;;
131130;0000;10,0833;;;
131201;0000;6,375;;;
131202;0000;8,875;;;
131203;0000;7,16666;;;
131204;0000;8,375;;;
131205;0000;13,0417;;;
131206;0000;13,0417;;;
131207;0000;6,95833;;;
131208;0000;6,20833;;;
131209;0000;8,16666;;;
131210;0000;6,375;;;
131211;0000;5,125;;;
131212;0000;8,125;;;
131213;0000;6,83333;;;
131214;0000;5,16666;;;
131215;0000;5,95833;;;
131216;0000;3,875;;;
131217;0000;3,45833;;;
131218;0000;6,54166;;;
131219;0000;10,1667;;;
131220;0000;5,75;;;
131221;0000;5,54166;;;
131222;0000;5,33333;;;
131223;0000;6,875;;;
131224;0000;6,95833;;;
131225;0000;6,79166;;;
131226;0000;7,25;;;
131227;0000;6,54166;;;
131228;0000;10,75;;;
131229;0000;12,6667;;;
131230;0000;8,70833;;;
131231;0000;20,3333;;;
140101;0000;18,375;;;
140102;0000;16,4583;;;
140103;0000;11,5833;;;
140104;0000;8,125;;;
140105;0000;5,70833;;;
140106;0000;10,875;;;
140107;0000;7,29166;;;
140108;0000;10,7917;;;
140109;0000;9,66666;;;
140110;0000;8,58333;;;
140111;0000;9,33333;;;
140112;0000;4,70833;;;
140113;0000;4,83333;;;
140114;0000;5,73913;;;
140115;0000;;;459,833;
140116;0000;4,75;;;
140117;0000;11,625;;;
140118;0000;7,29166;;;
140119;0000;4,875;;;
140120;0000;7,04166;;;
140121;0000;11,4583;;;
140122;0000;15,7083;;;
140123;0000;30,375;;;
140124;0000;17,3333;;;
140125;0000;8,54166;;;
140126;0000;5,25;;;
140127;0000;6,45833;;;
140128;0000;7,58333;;;
140129;0000;21,25;;;
140130;0000;7,20833;;;
140131;0000;6,66666;;;
140201;0000;11,9167;;;
140202;0000;7,70833;;;
140203;0000;9,95833;;;
140204;0000;19,375;;;
140205;0000;8,04166;;;
140206;0000;7,73913;;;
140207;0000;13,7083;;;
140208;0000;7,79166;;;
140209;0000;6,375;;;
140210;0000;10,2917;;;
140211;0000;6,91666;;;
140212;0000;13,2083;;;
140213;0000;15,375;;;
140214;0000;20,0833;;;
140215;0000;10,5833;;;
140216;0000;7,75;;;
140217;0000;4,875;;;
140218;0000;8,875;;;
140219;0000;16,0417;;;
140220;0000;8,29166;;;
